n_cities,noise_factor,distance_type,triangle_violation_rate,instance_type,avg_edge,std_edge,cv_edge,skew_edge,kurtosis_edge,min_edge,max_edge,avg_nn,std_nn,cv_nn,skew_nn,mst_cost,avg_mst_edge,std_mst_edge,mst_nn_ratio,avg_centroid_dist,std_centroid_dist,cv_centroid_dist,bbox_area,bbox_ratio,source,label,best_algo,optimal,OGA_best_cost,OGA_avg_cost,OGA_std_cost,OGA_avg_time,SA_best_cost,SA_avg_cost,SA_std_cost,SA_avg_time,LK_best_cost,LK_avg_cost,LK_std_cost,LK_avg_time,PSO_best_cost,PSO_avg_cost,PSO_std_cost,PSO_avg_time
10,0.0,0,0.0,1,595.6989751463129,277.547798662459,0.4659195503807757,0.0093724430672107,-1.1162163072175468,87.7890432425076,1110.429105399531,233.8151170854256,118.73841547472496,0.507830361675645,-0.1090024185557961,2407.7328415946204,267.5258712882912,122.63133469951768,1.1441769660708003,418.8742332715256,137.45871740608763,0.328162265633998,813085.7972519852,0.9711132920858409,generated,uniform_10_0_euclidean_random_cost,OGA,,2940.041675618575,2940.041675618575,2.6254850544756925e-13,0.0312922795613606,2940.041675618575,2940.041675618575,2.6254850544756925e-13,0.0153446197509765,2940.0416756185755,2940.0416756185755,0.0,0.00531800587972,2940.041675618575,2940.0416756185755,2.6254850544756925e-13,0.6511092980702718
10,0.0,0,0.2083333333333333,2,1629.6430446263926,1149.0793221683264,0.7051110523604027,0.6164372430232762,-1.0447338735735208,132.10902950747231,3549.2253605282804,336.4206882385936,160.16977946504082,0.4760996724180247,0.7014679765695382,3647.495218231122,405.2772464701247,182.38308917485637,1.2046739711283665,397.7926970405248,157.97559376745747,0.3971304524762651,766569.9851226258,0.8818786677014904,generated,uniform_10_0_euclidean_triangle_violation,LK,,4682.118053713749,5042.332872250964,509.4206817430925,0.0208574136098225,4682.118053713749,4682.118053713749,5.250970108951385e-13,0.0172255833943684,4682.118053713748,4682.118053713748,0.0,0.0055449803670247,4682.118053713748,4682.118053713748,7.425993143694779e-13,0.648393710454305
10,0.1,0,0.0,1,623.3568197336448,277.0594822925288,0.4444637060534832,0.0387444987626717,-1.1274416191850534,127.95599174993936,1149.5395893297623,259.6325686382921,112.7227134876922,0.4341624553456241,-0.0875942499292541,2652.854972267577,294.7616635852863,118.36036213536369,1.1353031136703593,418.8742332715256,137.45871740608763,0.328162265633998,813085.7972519852,0.9711132920858409,generated,uniform_10_0_euclidean_random_cost,OGA,,3243.555563196937,3243.555563196938,6.431098710768743e-13,0.019586165746053,3243.5555631969373,3243.555563196938,4.547473508864641e-13,0.0174337228139241,3243.5555631969373,3243.555563196938,4.547473508864641e-13,0.0061461925506591,3243.555563196937,3243.555563196938,6.431098710768743e-13,0.6366838614145914
10,0.1,0,0.2083333333333333,2,1629.6430446263926,1149.0793221683264,0.7051110523604027,0.6164372430232762,-1.0447338735735208,132.10902950747231,3549.2253605282804,336.4206882385936,160.16977946504082,0.4760996724180247,0.7014679765695382,3647.495218231122,405.2772464701247,182.38308917485637,1.2046739711283665,397.7926970405248,157.97559376745747,0.3971304524762651,766569.9851226258,0.8818786677014904,generated,uniform_10_0_euclidean_triangle_violation,SA,,4682.11805371375,5652.564967253955,811.67830324411,0.0221718152364095,4682.118053713748,5476.745099809114,569.1870996880144,0.0163648923238118,4682.118053713748,4682.118053713748,0.0,0.0052384535471598,4682.118053713749,4990.358431275046,435.91772241818967,0.6749362150828043
10,0.2,0,0.0,1,651.0146643209763,277.0295162038325,0.4255349862092289,0.0658914797152574,-1.1338190180822794,150.33783492957195,1188.6500732599943,285.4500201911586,107.3385886306298,0.3760328640325472,-0.0842037645281908,2881.062337801988,320.1180375335542,112.82217979209705,1.1214503937298,418.8742332715256,137.45871740608763,0.328162265633998,813085.7972519852,0.9711132920858409,generated,uniform_10_0_euclidean_random_cost,PSO,,3547.0694507752983,3547.0694507752983,3.7129965718473893e-13,0.0214223861694335,3547.0694507752987,3547.0694507752983,4.547473508864641e-13,0.0178782939910888,3547.0694507752987,3547.0694507752983,4.547473508864641e-13,0.005211591720581,3547.069450775298,3547.0694507752983,4.547473508864641e-13,0.6437828540802002
10,0.2,0,0.2083333333333333,2,1629.6430446263926,1149.0793221683264,0.7051110523604027,0.6164372430232762,-1.0447338735735208,132.10902950747231,3549.2253605282804,336.4206882385936,160.16977946504082,0.4760996724180247,0.7014679765695382,3647.495218231122,405.2772464701247,182.38308917485637,1.2046739711283665,397.7926970405248,157.97559376745747,0.3971304524762651,766569.9851226258,0.8818786677014904,generated,uniform_10_0_euclidean_triangle_violation,SA,,4682.118053713749,5581.848096150635,673.0379095388695,0.0223920345306396,4682.118053713748,5116.530281271899,614.3516638734438,0.0181736946105957,4682.118053713748,4682.118053713748,0.0,0.0062578519185384,4682.118053713748,4990.358431275045,435.9177224181901,0.102234681447347
10,0.0,1,0.025,1,761.9143663026342,374.92025365097214,0.4920766299109957,0.183258191763366,-0.8504171716353408,88.39445322764962,1554.5172085410577,277.49356301002905,146.20606590971326,0.5268809277007594,-0.2854565055054797,2995.226100277094,332.8029000307882,158.01569853528386,1.1993175496426205,418.8742332715256,137.45871740608763,0.328162265633998,813085.7972519852,0.9711132920858409,generated,uniform_10_0_manhattan_random_cost,OGA,,3695.097344856068,3851.119679647212,220.64890189475165,0.0202583471934,3695.097344856069,4007.142014438357,220.6489018947513,0.0155591169993082,3695.097344856069,3695.097344856069,0.0,0.0060341358184814,3695.097344856068,3695.097344856069,5.870763055717387e-13,0.6785483360290527
10,0.0,1,0.2083333333333333,2,1629.6430446263926,1149.0793221683264,0.7051110523604027,0.6164372430232762,-1.0447338735735208,132.10902950747231,3549.2253605282804,336.4206882385936,160.16977946504082,0.4760996724180247,0.7014679765695382,3647.495218231122,405.2772464701247,182.38308917485637,1.2046739711283665,397.7926970405248,157.97559376745747,0.3971304524762651,766569.9851226258,0.8818786677014904,generated,uniform_10_0_manhattan_triangle_violation,LK,,4682.118053713749,5242.505495290193,792.5075200609683,0.0192483266194661,4682.11805371375,5550.942508830051,614.3516638734434,0.0153846740722656,4682.118053713748,4682.118053713748,0.0,0.0053420066833496,4682.118053713748,4682.118053713749,7.425993143694779e-13,0.6392256418863932
10,0.1,1,0.0083333333333333,1,797.2894634762994,374.0063420210319,0.469097309263701,0.2115516812983197,-0.854850213684915,145.1969777014004,1604.540527067286,313.0263113929972,141.02371805366894,0.450517138403158,-0.2297389377350916,3344.0592812352797,371.5621423594755,156.77821388492794,1.1869997148354343,418.8742332715256,137.45871740608763,0.328162265633998,813085.7972519852,0.9711132920858409,generated,uniform_10_0_manhattan_random_cost,OGA,,4084.514465918228,4084.514465918228,3.7129965718473893e-13,0.0221789677937825,4084.514465918228,4227.261269121848,201.87446507596343,0.0164721806844075,4084.514465918228,4084.514465918228,0.0,0.0051565965016682,4084.514465918228,4084.514465918228,2.6254850544756925e-13,0.6383192539215088
10,0.1,1,0.2083333333333333,2,1629.6430446263926,1149.0793221683264,0.7051110523604027,0.6164372430232762,-1.0447338735735208,132.10902950747231,3549.2253605282804,336.4206882385936,160.16977946504082,0.4760996724180247,0.7014679765695382,3647.495218231122,405.2772464701247,182.38308917485637,1.2046739711283665,397.7926970405248,157.97559376745747,0.3971304524762651,766569.9851226258,0.8818786677014904,generated,uniform_10_0_manhattan_triangle_violation,LK,,4682.118053713749,5221.63327761342,762.989746745671,0.0232520103454589,4682.11805371375,5550.942508830051,614.3516638734432,0.0194208621978759,4682.118053713748,4682.118053713748,0.0,0.0056184927622477,4682.118053713748,4990.358431275045,435.9177224181901,0.7128699620564779
